Open Time;Order;Symbol;Type;Volume;;Price;S / L;T / P;Time;;State;Comment;
2026.01.06 23:23:00;644;GOLD;buy;0.01 / 0.01;;0.00;4 453.79;4 538.79;2026.01.06 23:23:00;;filled;Grip;
2026.01.07 01:31:04;645;GOLD;buy;0.01 / 0.01;;0.00;4 458.88;4 543.88;2026.01.07 01:31:04;;filled;Grip;
2026.01.07 03:57:09;646;GOLD;sell;0.01 / 0.01;;0.00;;;2026.01.07 03:57:09;;filled;;
2026.01.07 03:57:10;647;GOLD;sell;0.01 / 0.01;;0.00;;;2026.01.07 03:57:10;;filled;;
2026.01.07 03:57:10;648;GOLD;sell;0.01 / 0.01;;0.00;;;2026.01.07 03:57:10;;filled;;
2026.01.07 03:57:10;649;GOLD;sell;0.01 / 0.01;;0.00;;;2026.01.07 03:57:10;;filled;;
2026.01.09 12:59:01;650;GOLD;buy;0.01 / 0.01;;0.00;4 432.06;4 517.06;2026.01.09 12:59:01;;filled;Grip;
2026.01.09 16:06:00;651;GOLD;buy;0.01 / 0.01;;0.00;4 441.64;4 526.64;2026.01.09 16:06:00;;filled;Grip;
2026.01.09 17:01:00;652;GOLD;buy;0.01 / 0.01;;0.00;4 454.32;4 539.32;2026.01.09 17:01:00;;filled;Grip;
2026.01.09 20:14:00;653;GOLD;buy;0.01 / 0.01;;0.00;4 452.20;4 537.20;2026.01.09 20:14:00;;filled;Grip;
2026.01.12 01:03:25;654;GOLD;sell;0.01 / 0.01;;0.00;;;2026.01.12 01:03:25;;filled;tp 4517.06;
2026.01.12 01:06:40;655;GOLD;sell;0.01 / 0.01;;0.00;;;2026.01.12 01:06:40;;filled;tp 4526.64;
2026.01.12 01:29:46;656;GOLD;sell;0.01 / 0.01;;0.00;;;2026.01.12 01:29:46;;filled;tp 4537.20;
2026.01.12 01:41:01;657;GOLD;sell;0.01 / 0.01;;0.00;;;2026.01.12 01:41:01;;filled;tp 4539.32;
2026.01.12 03:28:00;658;GOLD;buy;0.01 / 0.01;;0.00;4 537.20;4 622.20;2026.01.12 03:28:00;;filled;Grip;
2026.01.12 03:59:35;659;GOLD;sell;0.01 / 0.01;;0.00;;;2026.01.12 03:59:35;;filled;;
2026.01.12 13:42:29;660;GOLD;buy;0.01 / 0.01;;0.00;4 551.64;4 636.64;2026.01.12 13:42:29;;filled;Grip;
2026.01.12 16:10:14;661;GOLD;sell;0.01 / 0.01;;0.00;;;2026.01.12 16:10:14;;filled;;
2026.01.20 14:40:45;662;GOLD;buy;0.01 / 0.01;;0.00;4 688.77;4 773.77;2026.01.20 14:40:45;;filled;Grip;
2026.01.20 17:37:01;663;GOLD;buy;0.01 / 0.01;;0.00;4 686.22;4 771.22;2026.01.20 17:37:01;;filled;Grip;
2026.01.20 18:42:00;664;GOLD;buy;0.01 / 0.01;;0.00;4 702.57;4 787.57;2026.01.20 18:42:00;;filled;Grip;
2026.01.20 20:27:46;665;GOLD;buy;0.01 / 0.01;;0.00;4 720.79;4 805.79;2026.01.20 20:27:46;;filled;Grip;
2026.01.21 01:44:18;666;GOLD;sell;0.01 / 0.01;;0.00;;;2026.01.21 01:44:18;;filled;tp 4771.22;
2026.01.21 01:45:00;667;GOLD;sell;0.01 / 0.01;;0.00;;;2026.01.21 01:45:00;;filled;tp 4773.77;
2026.01.21 02:13:00;668;GOLD;buy;0.01 / 0.01;;0.00;4 736.21;4 821.21;2026.01.21 02:13:00;;filled;Grip;
2026.01.21 03:01:09;669;GOLD;sell;0.01 / 0.01;;0.00;;;2026.01.21 03:01:09;;filled;tp 4787.57;
2026.01.21 03:13:59;670;GOLD;sell;0.01 / 0.01;;0.00;;;2026.01.21 03:13:59;;filled;tp 4805.79;
2026.01.21 03:27:21;671;GOLD;sell;0.01 / 0.01;;0.00;;;2026.01.21 03:27:21;;filled;tp 4821.21;
2026.01.21 04:19:01;672;GOLD;buy;0.01 / 0.01;;0.00;4 786.33;4 871.33;2026.01.21 04:19:01;;filled;Grip;
2026.01.21 05:32:38;673;GOLD;buy;0.01 / 0.01;;0.00;4 797.02;4 882.02;2026.01.21 05:32:38;;filled;Grip;
2026.01.21 07:08:00;674;GOLD;buy;0.01 / 0.01;;0.00;4 820.69;4 905.69;2026.01.21 07:08:00;;filled;Grip;
2026.01.21 07:18:26;675;GOLD;sell;0.01 / 0.01;;0.00;;;2026.01.21 07:18:26;;filled;tp 4871.33;
2026.01.21 08:00:00;676;GOLD;buy;0.01 / 0.01;;0.00;4 830.34;4 915.34;2026.01.21 08:00:00;;filled;Grip;
2026.01.21 08:25:23;677;GOLD;sell;0.01 / 0.01;;0.00;;;2026.01.21 08:25:23;;filled;tp 4882.02;
